Best Time of Pareto Front of solution for n=10, p=2: [92.12879540681404, 59.16306100730374, 59.16306100730374, 59.16306100730374, 59.16306100730374, 59.16306100730374]

Best Time of Pareto Front of solution for n=10, p=3: [92.12879540681404, 54.782172738227246, 54.02516263255463, 54.02516263255463, 54.02516263255463, 54.02516263255463]

Best Time of Pareto Front of solution for n=10, p=4: [51.90449496053711, 51.11582596001308, 50.5083134130543, 50.5083134130543, 50.5083134130543, 50.5083134130543]

Best Time of Pareto Front of solution for n=10, p=5: [51.90449496053711, 47.713646123155286, 47.418819756444236, 47.418819756444236, 47.418819756444236, 47.418819756444236]

Best Time of Pareto Front of solution for n=54, p=2: [755.138552309461, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782, 498.3438171539782]

Best Time of Pareto Front of solution for n=54, p=3: [755.138552309461, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364, 432.95495769586364]

Best Time of Pareto Front of solution for n=54, p=4: [471.716658589883, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717, 374.9818019464717]

Best Time of Pareto Front of solution for n=54, p=5: [471.716658589883, 374.9818019464717, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256, 351.09246129342256]

Best Time of Pareto Front of solution for n=54, p=6: [425.1719069507454, 370.48388129531725, 351.09246129342256, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994, 346.23830005722994]

Best Time of Pareto Front of solution for n=54, p=7: [395.82406434591644, 356.93047783019097, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581, 344.5873067066581]

Best Time of Pareto Front of solution for n=54, p=8: [395.82406434591644, 356.93047783019097, 344.5873067066581, 341.05119078624455, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158, 340.2306997938158]

Best Time of Pareto Front of solution for n=54, p=9: [395.82406434591644, 356.93047783019097, 344.5873067066581, 341.05119078624455, 339.85562854190596, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586, 339.0111618217586]

Best Time of Pareto Front of solution for n=54, p=10: [395.82406434591644, 356.93047783019097, 344.5873067066581, 336.24012405925737, 335.7616078163556, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775, 333.0546262666775]

