Best Cost of Pareto Front of solution for n=10, p=2: [216235727.41442335, 63444505.80139043, 47061117.57162524, 47061117.57162524, 47061117.57162524, 47061117.57162524]

Best Cost of Pareto Front of solution for n=10, p=3: [215822329.5997791, 62598122.52083653, 34998700.73750119, 34998700.73750119, 34998700.73750119, 34998700.73750119]

Best Cost of Pareto Front of solution for n=10, p=4: [76776784.34998497, 45037287.58721791, 39141356.41135704, 34339366.518606886, 34339366.518606886, 34339366.518606886]

Best Cost of Pareto Front of solution for n=10, p=5: [69723405.11787671, 37262001.21385385, 31370053.08960063, 26025802.662317645, 21218171.589547087, 21218171.589547087]

Best Cost of Pareto Front of solution for n=54, p=2: [12178634177.076485, 2919068944.3910646, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535, 2870769027.7504535]

Best Cost of Pareto Front of solution for n=54, p=3: [12095951727.098232, 2618818547.0504036, 2249402473.1063952, 2127047146.086424, 2115357905.635617, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562, 2112886289.8895562]

Best Cost of Pareto Front of solution for n=54, p=4: [7083093642.66703, 2252218502.7655797, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862, 2118840207.7218862]

Best Cost of Pareto Front of solution for n=54, p=5: [7010274170.882775, 2065141434.3796642, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105, 1611829877.4222105]

Best Cost of Pareto Front of solution for n=54, p=6: [5492212191.025712, 1881007091.3393726, 1399921437.814046, 1391582932.175543, 1387215190.3482955, 1385014253.2861137, 1371982395.949821, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343, 1370131714.0165343]

Best Cost of Pareto Front of solution for n=54, p=7: [3396504498.1507444, 1428263451.5592208, 1235389887.6106546, 1224654586.2868698, 1221333679.7074835, 1218882770.128846, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927, 1215993663.6088927]

Best Cost of Pareto Front of solution for n=54, p=8: [3381372267.730351, 1402211907.79754, 1203047394.2633383, 1150828497.0143304, 1140126888.7950423, 1129736454.02256, 1124835298.3587444, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265, 1122986541.2207265]

Best Cost of Pareto Front of solution for n=54, p=9: [3370513286.003556, 1391476199.4888966, 1164852590.01296, 1110024736.8805, 1061890170.7318434, 1046187566.2232387, 1035482970.9220989, 1026972467.4200441, 1021534605.1965243, 1021534605.1965243, 1021534605.1965243, 1021534605.1965243, 1021534605.1965243, 1021534605.1965243, 1021534605.1965243, 1021534605.1965243]

Best Cost of Pareto Front of solution for n=54, p=10: [3359089295.78725, 1380002732.7157772, 1153374553.5485883, 1071844746.9478606, 1021066328.043152, 996293146.849846, 987994289.1873277, 982557132.2432846, 974221923.9890589, 965714502.038489, 962497131.8653853, 962497131.8653853, 962497131.8653853, 962497131.8653853, 962497131.8653853, 962497131.8653853]

